Score,Label,Name,Category,Duration(min),TSS,IF,Protocol,Z1%,Z2%,Z3%,Z4%,Z5%,Z6%,Dominant,Notes,File
10,HIGH ✓✓,Day 6 - Endurance With Max Sprints,active-offseason,180.0,152.5,0.713,Endurance,8.3,91.7,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,week-3-day-6-endurance-with-max-sprints.zwo
10,HIGH ✓✓,Day 6 - Endurance With Max Sprints,active-offseason,175.0,150.4,0.718,Endurance,5.7,94.3,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,week-2-day-6-endurance-with-max-sprints.zwo
10,HIGH ✓✓,Day 6 - Endurance With Max Sprints,active-offseason,170.0,150.6,0.729,Endurance,0.0,100.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,week-1-day-6-endurance-with-max-sprints.zwo
10,HIGH ✓✓,Day 6 - Endurance With Max Sprints,active-offseason,150.0,118.3,0.688,Endurance,13.3,85.6,0.0,0.0,0.0,1.1,Z2,99% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,week-11-day-6-endurance-with-max-sprints.zwo
10,HIGH ✓✓,1 hour cadence change z2/z1,john-hunts-workouts,120.0,103.7,0.72,Endurance,0.0,100.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,1-hour-cadence-change-z2z1.zwo
10,HIGH ✓✓,LIT extra long mix 120min,recreation-and-foundation,120.0,90.0,0.671,Endurance,12.1,81.2,1.7,0.0,1.7,3.3,Z2,93% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,lit-extra-long-mix-120min.zwo
10,HIGH ✓✓,Day 4,your-first-century,120.0,89.0,0.667,VO2max — Helgerud-style 4×5.0min @ 120%,45.8,37.5,0.0,0.0,0.0,16.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),week-8-day-4.zwo
10,HIGH ✓✓,Day 3,your-first-century,120.0,84.0,0.648,Endurance,20.8,75.0,0.0,0.0,0.0,4.2,Z2,96% in Z1/Z2 | long Z2 — highest aerobic value | 2h+ aerobic stimulus,week-9-day-3.zwo
10,HIGH ✓✓,Day 4,your-first-century,120.0,86.1,0.656,VO2max — Helgerud-style 4×5.0min @ 110%,45.8,37.5,0.0,0.0,0.0,16.7,Z1,VO2max development (Helgerud 2007 / Seiler 2013),week-9-day-4.zwo
10,HIGH ✓✓,Day 6,your-first-century,119.2,76.2,0.619,Endurance,21.0,75.5,0.0,3.6,0.0,0.0,Z2,96% in Z1/Z2 | long Z2 — highest aerobic value,week-4-day-6.zwo
10,HIGH ✓✓,Session 10: Extended Zone 3,coop-academy,119.0,71.4,0.6,Endurance,37.0,63.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value,month-2-session-10-extended-zone-3.zwo
10,HIGH ✓✓,Day 4 - Active Recovery,active-offseason,115.0,54.2,0.532,Endurance,69.6,30.4,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2 | long Z2 — highest aerobic value,week-8-day-4-active-recovery.zwo
10,HIGH ✓✓,Active Recovery,recovery,115.0,54.2,0.532,Endurance,69.6,30.4,0.0,0.0,0.0,0.0,Z1,100% in Z1/Z2 | long Z2 — highest aerobic value,active-recovery.zwo
10,HIGH ✓✓,Day 1,your-first-century,105.0,66.0,0.614,Endurance,33.3,66.7,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value,week-4-day-1.zwo
10,HIGH ✓✓,Push / Pull / MAP,best-of-coop-academy,103.0,93.8,0.739,VO2max — Helgerud-style 3×4.0min @ 111%,43.7,19.4,0.0,19.4,0.0,17.5,Z1,VO2max development (Helgerud 2007 / Seiler 2013),za-2017-push-pull-map.zwo
10,HIGH ✓✓,6. Push / Pull / MAP,pro-development-2017,103.0,93.8,0.739,VO2max — Helgerud-style 3×4.0min @ 111%,43.7,19.4,0.0,19.4,0.0,17.5,Z1,VO2max development (Helgerud 2007 / Seiler 2013),month-1-6-push-pull-map.zwo
10,HIGH ✓✓,ODChickenCyclingers - Z2-90 mix,twelve-week-ftp-challenge,95.8,67.8,0.652,Endurance,8.4,89.8,0.0,0.0,0.0,1.8,Z2,98% in Z1/Z2 | long Z2 — highest aerobic value,endurance-community-z2-90-mix.zwo
10,HIGH ✓✓,Over Under Progression #13,paul-mack,91.1,97.9,0.803,VO2max — Helgerud-style 4×3.0min @ 110%,18.7,25.5,5.2,27.6,9.1,13.9,Z4,VO2max development (Helgerud 2007 / Seiler 2013),over-under-progression-over-under-progression-13.zwo
10,HIGH ✓✓,Over Under Progression #14,paul-mack,91.1,99.2,0.808,VO2max — Helgerud-style 4×3.0min @ 110%,18.7,25.5,5.2,27.6,0.4,22.7,Z4,VO2max development (Helgerud 2007 / Seiler 2013),over-under-progression-over-under-progression-14.zwo
10,HIGH ✓✓,Day 1,10-12wk-ftp-builder,91.0,55.5,0.605,Endurance,22.0,78.0,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value,week-10-day-1.zwo
10,HIGH ✓✓,Day 3,10-12wk-ftp-builder,90.0,55.4,0.608,Endurance,22.2,77.8,0.0,0.0,0.0,0.0,Z2,100% in Z1/Z2 | long Z2 — highest aerobic value,week-11-day-3.zwo
10,HIGH ✓✓,Threshold Pyramid - Semi Finals,best-of-coop-academy,90.0,55.6,0.609,VO2max — Helgerud-style 3×3.0min @ 105%,50.0,16.7,0.0,0.0,33.3,0.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),za-2017-threshold-pyramid-semi-finals.zwo
10,HIGH ✓✓,LIT long optimized 90min,recreation-and-foundation,90.0,66.5,0.666,Endurance,14.4,78.3,2.2,0.0,2.2,2.8,Z2,93% in Z1/Z2 | long Z2 — highest aerobic value,lit-long-optimized-90min.zwo
10,HIGH ✓✓,Day 5,your-first-century,90.0,51.0,0.583,Endurance,61.1,33.9,0.0,0.0,1.7,3.3,Z1,95% in Z1/Z2 | long Z2 — highest aerobic value,week-10-day-5.zwo
10,HIGH ✓✓,Threshold Pyramid - Semi Finals,pro-development-2017,90.0,55.6,0.609,VO2max — Helgerud-style 3×3.0min @ 105%,50.0,16.7,0.0,0.0,33.3,0.0,Z1,VO2max development (Helgerud 2007 / Seiler 2013),semi-finals-threshold-pyramid-semi-finals.zwo
